sku,store_view_code,name,description,short_description
24-MB01,luma_fr_fr,Duffle Bag Joust,"<P> Le sportif Joust Duffle Bag ne peut pas être battu - pas dans la salle de gym, pas sur le carrousel à bagages, nulle part. assez grand pour transporter un ballon de basket ou de football et des entraîneurs avec beaucoup de pièce de rechange, il est idéal pour les athlètes avec des endroits pour aller. <p>
<Ul>
<Li> poignées de haut double. </ Li>
<Li> sangle d'épaule réglable. </ Li>
<Li> fermeture à glissière pleine longueur. </ Li>
<Li> L 29"" x 13"" x H 11"" . </ Li>
</ Ul>",
24-MB04,luma_fr_fr,Harnais Strive,"<P> La commodité est à côté de rien quand la journée est bourrée d'action. Donc, si vous vous dirigez à la classe, salle de gym, ou le chemin invaincue, assurez-vous que vous avez votre épaule Efforcez-pack bourré de tous vos accessoires et extras ainsi. </ P>
<Ul>
<Li> compartiment principal Zippered. </ Li>
<Li> Poche avant zippée. </ Li>
<Li> Côté poche en filet. </ Li>
<Li> Téléphone portable de poche sur la sangle. </ Li>
<Li> sangle d'épaule réglable et poignée supérieure de portage. </ Li>
</ Ul>",
24-MB03,luma_fr_fr,Sac à dos Crown Summit,"<P> Le Sommet de la Couronne Sac à dos est également à la maison dans un casier de gym, cube d'étude ou une tente de chiot, assurez-vous donc à vous est rempli de livres, un sac à lunch, des bouteilles d'eau, bloc de yoga, ordinateur portable, ou tout ce que vous voulez dans main. Assez robuste pour les randonnées d'une journée et des voyages de camping, il dispose de deux grands compartiments à fermeture à glissière et bretelles matelassées, réglables. </ p>
<Ul>
<Li> Top poignée. </ Li>
<Li> trous Grommet. </ Li>
<Li> fermetures à glissière à double sens. </ Li>
<Li> H 20"" x L 14"" x P 12"" . </ Li>
<Li> Poids: 2 livres, 8 onces Volume:. 29 L </ li>
<Ul>",
24-MB05,luma_fr_fr,Sacoche Wayfarer,"<P> Parfait pour la classe, le travail ou la salle de gym, le Messenger Bag Wayfarer est emballé avec des poches. La fermeture à rabat double boucle révèle un panneau d'organisation, et le compartiment spacieux principale a des espaces pour votre ordinateur portable et un changement de vêtements. Une sangle d'épaule réglable et poignée facile à saisir promettent un transport facile. </ P>
<Ul>
<Li> De multiples poches à fermeture éclair interne. </ Li>
<Li> Fait de nylon durable. </ Li>
</ Ul>",
24-MB06,luma_fr_fr,Sacoche Rival Field,"<P> Le Rival Messenger emballe tous les champs de votre campus, studio ou essentiel sentier à l'intérieur d'une conception unique de cuir souple texturé - avec beaucoup de caractère à revendre. Deux poches extérieures permettent de garder vos petits objets à portée de main, et les offres d'intérieur spacieux espace encore plus. </ P>
<Ul>
<Li> Construction en cuir. </ Li>
<Li> tissu réglable sangle de transport. </ Li>
<Li> Dimensions:. 18"" x 10"" x 4"" </ li>
</ Ul>",
24-MB02,luma_fr_fr,Sac à dos Fusion,"<P> Avec la Fusion Sac à dos sanglé sur, chaque randonnée est une aventure - même un trajet en bus pour aller travailler. C'est en partie parce que deux grands compartiments à fermeture éclair tout magasin que vous avez besoin, tandis qu'une poche frontale zippée et poches côté filet sont parfaits pour ranger ces petits extras, au cas où vous changez d'avis et de prendre la journée. </ P>
<Ul>
<Li> construction en nylon durable. </ Li>
<Li> 2 compartiments principaux à fermeture à glissière. </ Li>
<Li> 1 poche zippée extérieure. </ Li>
<Li> Maillage poches latérales. </ Li>
<Li> rembourré, sangles réglables. </ Li>
<Li> Poignée de transport. </ Li>
<Li> Dimensions:. 18"" x 10"" x 6"" </ li>
</ Ul>",
24-UB02,luma_fr_fr,Duffle Bag Impulse,"<P> Bon pour les voyages de plage, des rencontres d'athlétisme, des retraites de yoga et plus, l'impulsion Duffle est le compagnon que vous voulez à vos côtés. Une grande ouverture en forme de U fait emballer une affaire sans tracas, tandis qu'une poche intérieure à fermeture à glissière garde les bijoux et autres petits objets de valeur en toute sécurité l'abri des regards. </ P>
<Ul>
<Li> roues. </ Li>
<Li> poignées double. </ Li>
<Li> poignée supérieure rétractable. </ Li>
<Li> W 14"" x H 26"" x D 11"" . </ Li>
</ Ul>",
24-WB01,luma_fr_fr,Sac de Yoga Voyage,"<P> Tout ce qu'il faut pour un voyage à la salle de gym se tenir dans ce sac Yoga Voyage étonnamment spacieux. Stock avec une bouteille d'eau, vêtements de rechange, paire de chaussures, et même quelques produits de beauté. Fits l'intérieur d'un casier et les fermetures éclair fermé pour la sécurité. </ P>
<Ul>
<Li> poche de glissement sur le devant. </ Li>
<Li> tuyauterie de contraste. </ Li>
<Li> construction en nylon durable. </ Li>
</ Ul>",
24-WB02,luma_fr_fr,Tote Bag Compete Track,"<P> Le Compete piste Tote tient une foule de fournitures d'exercice avec facilité. Stash votre serviette, veste et chaussures de ville à l'intérieur. Tuck bouteilles d'eau dans les espaces extérieurs faciles d'accès. Parfait pour les voyages à salle de gym ou un studio de yoga, avec deux poignées de haut pour plus de commodité et à partir. <P>
<Ul>
<Li> fermetures à glissière à double sens. </ Li>
<Li> contrastantes. </ Li>
<Li> W 22,0"" x H 17"" x D 10"" . </ Li>
</ Ul>",
24-WB05,luma_fr_fr,Tote Bag Savvy Shoulder,"<P> Powerwalking à la salle de gym ou se promener au café local, le fourre-tout d'épaule Savvy vous permet de planquer vos effets dans le style sportif! Un compartiment à chargement offre un accès rapide et facile à gros articles, tandis que les poches à fermeture à glissière sur la cale avant et à l'argent comptant, les cartes de crédit et par téléphone. </ P>
<Ul>
<Li> shell résistant à l'eau. </ Li>
<Li> poche bouteille d'eau. </ Li>
<Li> rembourré, articulant bandoulière. </ Li>
<Li> Dimensions:. W 21"" x H 15"" x D 10"" </ li>
</ Ul>",
